,ResponseID,ExtendedSessionID,UserID,ScenarioOrder,Intervention,PedPed,Barrier,CrossingSignal,AttributeLevel,ScenarioTypeStrict,ScenarioType,DefaultChoice,NonDefaultChoice,DefaultChoiceIsOmission,NumberOfCharacters,DiffNumberOFCharacters,Saved,Template,DescriptionShown,LeftHand,UserCountry3,Man,Woman,Pregnant,Stroller,OldMan,OldWoman,Boy,Girl,Homeless,LargeWoman,LargeMan,Criminal,MaleExecutive,FemaleExecutive,FemaleAthlete,MaleAthlete,FemaleDoctor,MaleDoctor,Dog,Cat
0,res_00000000_1,chatbot_extended,chatbot,0,1,1,0,0,Less,Utilitarian,Utilitarian,,,,2,3,1,desktop,1,1,JPN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,res_00000000_2,chatbot_extended,chatbot,0,0,1,0,0,More,Utilitarian,Utilitarian,,,,5,3,0,desktop,1,0,JPN,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0
2,res_00000001_1,chatbot_extended,chatbot,0,0,0,1,0,Old,Age,Age,,,,4,0,1,desktop,1,1,JPN,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,res_00000001_2,chatbot_extended,chatbot,0,1,0,0,2,Young,Age,Age,,,,4,0,0,desktop,1,0,JPN,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
4,res_00000002_1,chatbot_extended,chatbot,0,0,0,1,0,Less,Utilitarian,Utilitarian,,,,3,1,0,desktop,1,1,JPN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,res_00000002_2,chatbot_extended,chatbot,0,1,0,0,0,More,Utilitarian,Utilitarian,,,,4,1,1,desktop,1,0,JPN,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
6,res_00000003_1,chatbot_extended,chatbot,0,0,1,0,1,Young,Age,Age,,,,3,0,1,desktop,1,1,JPN,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
7,res_00000003_2,chatbot_extended,chatbot,0,1,1,0,2,Old,Age,Age,,,,3,0,0,desktop,1,0,JPN,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,res_00000004_1,chatbot_extended,chatbot,0,0,1,0,1,Low,Social Value,Social Value,,,,2,0,1,desktop,1,1,JPN,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,res_00000004_2,chatbot_extended,chatbot,0,1,1,0,2,High,Social Value,Social Value,,,,2,0,0,desktop,1,0,JPN,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
